(from GFF),,,
gene.name,gene.ID,B2Gname,rnaID
cog6,gene356,rna665_gene_cog6,rna665
LOC106914462,gene357,rna666_gene_LOC106914462,rna666
slc25a15,gene358,rna667_gene_slc25a15,rna667
stoml3,gene359,rna672_gene_stoml3,rna672
LOC106914511,gene360,NA,NA
LOC106914499,gene361,rna675_gene_LOC106914499,rna675
LOC106914463,gene362,rna676_gene_LOC106914463,rna676
LOC106914519,gene363,rna678_gene_LOC106914519,rna678
LOC106914534,gene364,rna680_gene_LOC106914534,rna680
LOC106914548,gene365,rna681_gene_LOC106914548,rna681
LOC106914588,gene366,rna682_gene_LOC106914588,rna682
atg4d,gene367,rna685_gene_atg4d,rna685
LOC106914609,gene368,rna686_gene_LOC106914609,rna686
LOC106914624,gene369,rna688_gene_LOC106914624,rna688
ap1m2,gene370,rna689_gene_ap1m2,rna689
cdkn2d,gene371,rna691_gene_cdkn2d,rna691
LOC106914655,gene372,rna694_gene_LOC106914655,rna694
keap1,gene373,rna697_gene_keap1,rna697
LOC106914687,gene374,rna700_gene_LOC106914687,rna700
fdx1l,gene375,rna701_gene_fdx1l,rna701
zglp1,gene376,rna702_gene_zglp1,rna702
LOC106914715,gene377,rna705_gene_LOC106914715,rna705
LOC106914710,gene378,rna706_gene_LOC106914710,rna706
LOC106914728,gene379,rna707_gene_LOC106914728,rna707
LOC106914737,gene380,rna708_gene_LOC106914737,rna708
LOC106914743,gene381,rna715_gene_LOC106914743,rna715
LOC106914776,gene382,rna716_gene_LOC106914776,rna716
LOC106914784,gene383,rna717_gene_LOC106914784,rna717
LOC106914792,gene384,rna718_gene_LOC106914792,rna718
LOC106914806,gene385,rna729_gene_LOC106914806,rna729
LOC106914571,gene386,rna732_gene_LOC106914571,rna732
LOC106914578,gene387,rna733_gene_LOC106914578,rna733
LOC106914854,gene388,rna734_gene_LOC106914854,rna734
pld6,gene389,rna738_gene_pld6,rna738
LOC106914881,gene390,rna740_gene_LOC106914881,rna740
LOC106914917,gene391,rna744_gene_LOC106914917,rna744
LOC106914890,gene392,rna746_gene_LOC106914890,rna746
LOC106914557,gene393,rna752_gene_LOC106914557,rna752
LOC106914941,gene394,rna753_gene_LOC106914941,rna753
LOC106914948,gene395,rna754_gene_LOC106914948,rna754
LOC106914980,gene396,rna755_gene_LOC106914980,rna755
rab11fip4,gene397,rna757_gene_rab11fip4,rna757
LOC106914990,gene398,rna764_gene_LOC106914990,rna764
LOC106915014,gene399,NA,NA
LOC106915008,gene400,NA,NA
utp6,gene401,rna767_gene_utp6,rna767
rhbdd2,gene402,rna768_gene_rhbdd2,rna768
LOC106915028,gene403,rna769_gene_LOC106915028,rna769
LOC106914565,gene404,rna770_gene_LOC106914565,rna770
LOC106915035,gene405,rna772_gene_LOC106915035,rna772
erp27,gene406,rna773_gene_erp27,rna773
LOC106915054,gene407,rna774_gene_LOC106915054,rna774
LOC106915084,gene408,NA,NA
LOC106915060,gene409,rna777_gene_LOC106915060,rna777
LOC106915089,gene410,rna781_gene_LOC106915089,rna781
LOC106915126,gene411,rna782_gene_LOC106915126,rna782
cnnm3,gene412,rna784_gene_cnnm3,rna784
LOC106915132,gene413,NA,NA
LOC106915104,gene414,rna786_gene_LOC106915104,rna786
purb,gene415,rna788_gene_purb,rna788
LOC106915147,gene416,rna789_gene_LOC106915147,rna789
polm,gene417,rna790_gene_polm,rna790
LOC106915156,gene418,rna791_gene_LOC106915156,rna791
mrps24,gene419,rna792_gene_mrps24,rna792
nudcd3,gene420,rna793_gene_nudcd3,rna793
camk2b,gene421,rna794_gene_camk2b,rna794
LOC106915207,gene422,NA,NA
ogdh,gene423,rna801_gene_ogdh,rna801
LOC106915224,gene424,rna802_gene_LOC106915224,rna802
LOC106915229,gene425,rna803_gene_LOC106915229,rna803
adm2,gene426,rna804_gene_adm2,rna804
miox,gene427,rna805_gene_miox,rna805
lmf2,gene428,rna807_gene_lmf2,rna807
c2cd5,gene429,rna818_gene_c2cd5,rna818
LOC106915345,gene430,rna825_gene_LOC106915345,rna825
fkbp4,gene431,rna827_gene_fkbp4,rna827
ddx11,gene432,rna832_gene_ddx11,rna832
LOC106915381,gene433,rna833_gene_LOC106915381,rna833
LOC106915396,gene434,rna834_gene_LOC106915396,rna834
ptprq,gene435,rna838_gene_ptprq,rna838
LOC106915091,gene436,rna839_gene_LOC106915091,rna839
otogl,gene437,rna841_gene_otogl,rna841
LOC106915446,gene438,rna842_gene_LOC106915446,rna842
bbs10,gene439,rna844_gene_bbs10,rna844
LOC106915485,gene440,rna849_gene_LOC106915485,rna849
vwf,gene441,rna851_gene_vwf,rna851
LOC106915505,gene442,rna852_gene_LOC106915505,rna852
LOC106915516,gene443,rna854_gene_LOC106915516,rna854
cfap161,gene444,rna860_gene_cfap161,rna860
LOC106915557,gene445,rna861_gene_LOC106915557,rna861
LOC106915571,gene446,NA,NA
LOC106915575,gene447,NA,NA
LOC106915580,gene448,rna866_gene_LOC106915580,rna866
LOC106915603,gene449,rna867_gene_LOC106915603,rna867
LOC106915588,gene450,rna870_gene_LOC106915588,rna870
LOC106915595,gene451,rna871_gene_LOC106915595,rna871
mef2a,gene452,rna872_gene_mef2a,rna872
LOC106915099,gene453,rna887_gene_LOC106915099,rna887
LOC106915703,gene454,rna888_gene_LOC106915703,rna888
LOC106915738,gene455,rna896_gene_LOC106915738,rna896
LOC106915744,gene456,rna897_gene_LOC106915744,rna897
nkx6-3,gene457,rna898_gene_nkx6-3,rna898
LOC106915761,gene458,rna899_gene_LOC106915761,rna899
gpat4,gene459,rna900_gene_gpat4,rna900
polr3d,gene460,rna901_gene_polr3d,rna901
LOC106915780,gene461,rna903_gene_LOC106915780,rna903
LOC106915794,gene462,rna906_gene_LOC106915794,rna906
gins4,gene463,rna908_gene_gins4,rna908
LOC106915820,gene464,rna911_gene_LOC106915820,rna911
dbnl,gene465,rna914_gene_dbnl,rna914
LOC106915890,gene466,NA,NA
LOC106915872,gene467,rna922_gene_LOC106915872,rna922
LOC106915896,gene468,NA,NA
LOC106915824,gene469,rna925_gene_LOC106915824,rna925
LOC106915888,gene470,NA,NA
LOC106915883,gene471,NA,NA
LOC106915904,gene472,rna930_gene_LOC106915904,rna930
LOC106915913,gene473,NA,NA
LOC106915918,gene474,NA,NA
LOC106915923,gene475,NA,NA
LOC106915700,gene476,NA,NA
LOC106915928,gene477,NA,NA
LOC106915937,gene478,NA,NA
mn1,gene479,rna938_gene_mn1,rna938
pitpnb,gene480,rna940_gene_pitpnb,rna940
ttc28,gene481,rna944_gene_ttc28,rna944
LOC106915983,gene482,NA,NA
LOC106916057,gene483,NA,NA
LOC106916059,gene484,NA,NA
LOC106915988,gene485,NA,NA
LOC106915995,gene486,rna948_gene_LOC106915995,rna948
LOC106916030,gene487,rna949_gene_LOC106916030,rna949
LOC106916002,gene488,NA,NA
LOC106916036,gene489,rna950_gene_LOC106916036,rna950
LOC106916065,gene490,rna951_gene_LOC106916065,rna951
LOC106916088,gene491,rna955_gene_LOC106916088,rna955
ube2f,gene492,rna956_gene_ube2f,rna956
hectd2,gene493,rna958_gene_hectd2,rna958
LOC106916047,gene494,NA,NA
pcgf5,gene495,rna960_gene_pcgf5,rna960
slc22a15,gene496,rna962_gene_slc22a15,rna962
LOC106916171,gene497,rna964_gene_LOC106916171,rna964
kif11,gene498,rna967_gene_kif11,rna967
LOC106916153,gene499,rna968_gene_LOC106916153,rna968
LOC106916187,gene500,rna969_gene_LOC106916187,rna969
LOC106916145,gene501,rna971_gene_LOC106916145,rna971
LOC106916238,gene502,NA,NA
LOC106916010,gene503,rna973_gene_LOC106916010,rna973
LOC106916232,gene504,NA,NA
LOC106916177,gene505,rna975_gene_LOC106916177,rna975
LOC106916162,gene506,rna976_gene_LOC106916162,rna976
LOC106916206,gene507,rna977_gene_LOC106916206,rna977
LOC106916051,gene508,NA,NA
LOC106916288,gene509,rna979_gene_LOC106916288,rna979
LOC106916242,gene510,rna982_gene_LOC106916242,rna982
LOC106916019,gene511,rna991_gene_LOC106916019,rna991
LOC106916382,gene512,NA,NA
LOC106916297,gene513,rna994_gene_LOC106916297,rna994
LOC106916395,gene514,NA,NA
LOC106916337,gene515,rna1000_gene_LOC106916337,rna1000
LOC106916379,gene516,NA,NA
znf365,gene517,rna1005_gene_znf365,rna1005
